restaurant_id,restaurant_name,menu_item,category,description,price,exclusion_reason
1017413,Salsa Mexican Restaurant,Freshly Made Chips One Bag,Other,,1.75,bag
2443841,INSPIRE BY MARCELA BEAUTY SPA,Facial Treatment Booking Fee - Non Refundable,Desserts,,20.0,fee
1528548,LILYS BAKERY & CATERING,Merry Christmas With Silver Gift,Desserts,1 cake topper. it says merry christmas with 2 gifts and 1 pine tree.,3.49,gift
2456744,SMALL CAKES COLLIERVILLE,Valentine Mini Heart Cookie Bag (12),Desserts,,10.0,bag
2456744,SMALL CAKES COLLIERVILLE,Valentine Mini Heart Cookie Bag (12),Desserts,,13.0,bag
2260024,La Roche Lebanese Cuisine,A Bag Of Pita Bread( 5 Pcs),Sides,,6.0,bag
2260024,La Roche Lebanese Cuisine,A Bag Of Pita Bread( 5 Pcs),Sides,bag of 5 soft lebanese-style pitas.,6.0,bag
2576903,CRUMPYS HOT WINGS,Coupon Book,Other,,5.0,coupon
2458555,ON THE YARD,Zfb Gift Bag,Other,,5.99,gift bag
1706037,Bluff City Crab,Shrimp Bag,Entrées,"twelve jumbo shrimp, one corn, and two potatoes.you can add a cluster, lobster tail, sausage, egg or broccoli. you can also make it as juicy as you like!",19.99,bag
2393802,DICK'S Sporting Goods,"Nike Brasiliatraining Duffel Bag (medium, 60l) (iron Grey/black/white)",Wine,,47.0,bag
2393802,DICK'S Sporting Goods,"Nike Brasiliatraining Duffel Bag (medium, 60l) (iron Grey/black/white)",Wine,,47.0,bag
2395847,MOCHIATSU,Light Roast Vietnamese Coffee Bag,Non-Alcoholic Beverages,,18.0,bag
2458555,ON THE YARD,Apa Gift Bag,Other,,5.99,gift bag
14908,Brookhaven Pub & Grill,Bag-o-mess,Appetizers,"kielbasa sausage kicked up with sweet and sour sauce, tabasco jalapenos, peppers and onions",9.0,bag
1706037,Bluff City Crab,Create Your Own Bag!,Other,select this option if you would like to make a bag! you are able to make your bag your own with what ever you like!,1.39,bag
2452966,HPH MKT,Lg Snack Bag,Desserts,,19.99,bag
2452966,HPH MKT,Lg Snack Bag,Other,,19.99,bag
2459105,NEW BEAUTY NAIL BAR LLC,$50 Gift Certificate,Other,$50 gift certificate,50.0,gift certificate
2475653,JUNIOR LEAGUE OF MEMPHIS,Canvas Weekender Bag,Other,,40.0,bag
2363984,Brooklyn Bridge Italian Restaurant,Corkage Fee,Non-Alcoholic Beverages,,15.0,fee
2458555,ON THE YARD,Sgr Mini Jute Bag,Other,,14.99,bag
2403318,Bain Barbecue,Bag Of Martins Buns,Sides,,18.0,bag
2153578,Delta Steakhouse,"Cheese Cubes, 1 Bag",Other,,5.0,bag
2459105,NEW BEAUTY NAIL BAR LLC,Party Of 8 + Room Fee,Other,,157.0,fee
2535374,MIKES HOT WINGS,Bag Ice,Non-Alcoholic Beverages,,2.5,bag
1528548,LILYS BAKERY & CATERING,Merry Christmas With Golden Gift,Desserts,1 cake topper. it says merry christmas with 2 gifts and 1 pine tree.,3.49,gift
2460390,The Life Store,Purple & Gold Duffle Bag,Other,,20.0,bag
2458555,ON THE YARD,Aka Canvas Bag,Other,,49.99,bag
2521457,Playa Bowls,Playanola Bag,Appetizers,1lb bag of blueberry flax granola - take home today!,12.0,bag
2401240,Brown Jug Liquor Store,Party Ice Bag (7 Lb),Other,,2.99,bag
2401240,Brown Jug Liquor Store,Party Ice Bag (7 Lb),Other,,2.99,bag
2458555,ON THE YARD,Opp Gift Bag,Other,,5.99,gift bag
2475653,JUNIOR LEAGUE OF MEMPHIS,Reusable Grocery Bag,Other,,5.0,bag
1652617,Tackers Shake Shack Marion,Ice Bag,Other,,3.0,bag
2192338,Tacker's Shake Shack Wynne Tacker’s Shake Shack,Ice Bag,Other,,3.0,bag
2123815,SOUTH MEMPHIS GROCERY,Ice Bag,Other,,2.0,bag
2458555,ON THE YARD,Dst Canvas Bag Blk,Other,,58.99,bag
2458555,ON THE YARD,Kay Gift Bag,Other,,5.99,gift bag
1089989,PITA MEDITERRANEAN GRILL,Bag Pita Bread,Sides,,4.99,bag
