restaurant_id,restaurant_name,zip_or_postal_code,KEEP,PROMOTE,REMOVE,REFRESH_RECIPE,REPOSITION,ADD_NEW_ITEM,SEASONAL_SPECIAL,EXPAND_CATEGORY,PRICE_OPTIMIZATION
1422279,Breakfast Beauties,38141,"Steak, Egg And Cheese Sandwich | Breakfast Burger | Cali Breakfast Sandwich | House Breakfast Sandwich | Veggie Breakfast Sandwich","Steak, Egg And Cheese Sandwich",Bacon,Bacon | Sausage | Scrambled Eggs,Egg And Cheese Bagel,Healthy lunch salad | Korean BBQ taco or bowl | Limited-time specialty pizza,Breakfast Burger,Expand Burgers/Sandwiches,Breakfast Sandwich Combo | Breakfast Burger | Meat Lovers Breakfast Burger
1422297,Subway,38103,Pizza Sub | Personal Cheese Pizza | Raspberry Cheesecake Cookie | Subway(r) Footlong Cookie | 5 Meat Italian,Spicy Nacho Chicken,Gogo Squeez(r) Apple Apple | Miss Vickie's(r) Salt & Vinegar | Lays(r) Classic | Cheetos(r) Crunchy | Doritos(r) Nacho Cheese,Peppercorn Ranch Chicken | Grilled Chicken & Avocado | Baja Chicken | Sweet Onion Chicken Teriyaki(r) | Grilled Chicken,Spicy Nacho Chicken | Italian Trio,Korean BBQ taco or bowl,Spicy Nacho Chicken | Honest Kids(r) Super Fruit Punch | Pizza Sub,Expand Pizza/Flatbreads,1% Low Fat Milk | Lays(r) Baked Original | Oatmeal Raisin Cookie
1427327,Wingstop,38654,Chicken Sandwich,Louisiana Voodoo Fries,Soft Drinks | Dasani Bottled Water(r) | Veggie Sticks | Cheese Fries | Buffalo Ranch Fries,3 Pc Crispy Tender Combo | 6 Pc Wing Combo | 10 Wings | 15 Crispy Tenders | 40 Pc Group Pack,Cajun Fried Corn | Louisiana Voodoo Fries,Healthy lunch salad | Korean BBQ taco or bowl | Limited-time specialty pizza,Louisiana Voodoo Fries,Expand Wings/Chicken,Side Of Flavor | 75 Pc Pack | 50 Pc Party Pack | 40 Pc Group Pack | 30 Crispy Tenders
1427907,Subway,38116,Tuna | Sweet Onion Chicken Teriyaki(r) | Grilled Chicken & Avocado | Peppercorn Ranch Chicken | Baja Chicken,Spicy Nacho Chicken | Grilled Chicken | Pizza Sub,"Celsius(r) Sparkling Orange | Pepsi(r) Wild Cherry | Gatorade(r) Zero Sugar, Orange | Pepsi(r) | Gatorade(r) Fruit Punch",Doritos(r) Nacho Cheese | Sunchips(r) Harvest Cheddar(r) | Meatball Pepperoni | Subway Club(r) | Oven-roasted Turkey,Italian Trio,Korean BBQ taco or bowl,Spicy Nacho Chicken | Grilled Chicken | Peppercorn Ranch Chicken | Grilled Chicken & Avocado | Baja Chicken,Expand Wings/Chicken,1% Low Fat Milk | Lays(r) Baked Original | Oatmeal Raisin Cookie
1428027,TAQUERIA EXPRESS 2,38115,Pizzabirria | Taco Salad | Quesadilla (each),Pollo Asado,Side Sour Cream | Beans And Rice | Side Beans | Side Rice | Extra Tortillas,Flautas De Pollo | Nachos | Carne Asada | Steak Ranchero | Can Soda,Pollo Asado,Healthy lunch salad,Pollo Asado | Pizzabirria | Taco Salad,Expand Pizza/Flatbreads,Taco Veggie | Beed Head Taco | Bbq Beef/ Barbacoa Taco | Mexican Sausage Taco | Steak Taco
1429264,Burger King,38116,Whopper | Impossible Maple Bourbon Bbq Whopper(r) With Bacon Meal | Impossible Ultimate Steakhouse Whopper(r) With Bacon Meal | Maple Bourbon Bbq Whopper(r) Meal | Bacon King Meal,Cheeseburger Meal | Impossible Whopper Meal,Hershey's(r) Sundae Pie | Onion Rings | Soft Serve Cup | Vanilla Shake | Chocolate Shake,Double Cheeseburger | Rodeo Double Cheeseburger | Bacon Double Cheeseburger | Cheeseburger | Bacon Cheeseburger,Impossible Whopper | Whopper Jr. Meal | Double Whopper Meal | Whopper Meal,Healthy lunch salad | Korean BBQ taco or bowl | Limited-time specialty pizza,Cheeseburger Meal | Impossible Whopper Meal | Cheeseburger King Jr. Meal | Impossible Maple Bourbon Bbq Whopper(r) With Bacon Meal | Double Cheeseburger Meal,Expand Alcohol And Cocktails,Royal Four | Triple Bundle | Family Bundle | 4 Pc. Chicken Nuggets | 4 Pc. Chicken Fries
1429819,DDJ's Wingz and Thingz,38115,Philly Sandwich,Philly Sandwich,Sides (small Fry),Steak & Cheese Bagel | 10 Piece Wings | 6 Piece Wings | Loaded Chicken Potato | 15 Piece Wings,Philly Sandwich,Healthy lunch salad | Limited-time specialty pizza,Philly Cheesesteak All In One,Expand Wings/Chicken,Philly Cheesesteak All In One
1430612,Beirut Grill,38115,Greek Salad | Shish Kabob Chicken | Chicken Shawerma Wrap | Falafel Pita Wrap,Shish Kabob Chicken,Coca-cola 12 Oz | Purified Water | Kebbeh 2 Pieces,Sprite 12 Oz Zero Sugar | Orange Juice Tropicana | Hummus | Falafel 5 Balls | Tzatziki,Shish Kabob Chicken,Korean BBQ taco or bowl | Limited-time specialty pizza,Shish Kabob Chicken | Chicken Shawerma Wrap,Expand Salads,Sprite 12 Oz Zero Sugar
1431795,Daylight Donuts,38134,Fish In Spicy Sauce,Fish In Spicy Sauce,Chocolate Milk | Hot Chocolate (large) | Assorted Donut | One Dozen Glazed And One Dozen Assorted | Black Coffee (large),Fish In Spicy Sauce,Hot Chocolate (large),Healthy lunch salad | Korean BBQ taco or bowl | Limited-time specialty pizza,Hot Chocolate (large),Expand Seafood,Hot Chocolate (large) | Chocolate Milk | One Dozen Glazed And One Dozen Assorted | Black Coffee (large)
1432573,Chick-fil-A,38125,Hash Brown Scramble Bowl Meal | Hash Brown Scramble Bowl | Hash Brown Scramble Burrito | 5 Ct Grilled Nuggets Kid's Meal | Grilled Chicken Sandwich,Hash Brown Scramble Burrito Meal | Spicy Southwest Salad | Spicy Cool Wrap(r) Meal | Spicy Cool Wrap(r) | Grilled Chicken Club Meal,Kale Crunch Side,"Breakfast Proteins | Chicken, Egg & Cheese Biscuit | Chick-fil-a(r) Chicken Biscuit | Chick-fil-a Waffle Potato Fries(r) | Mac & Cheese",Grilled Nuggets Family Style Meal,Limited-time specialty pizza,Spicy Cool Wrap(r) | Spicy Southwest Salad | Spicy Cool Wrap(r) Meal | Hash Brown Scramble Burrito Meal | Grilled Chicken Club Meal,Expand Tacos/Burritos | Expand Wings/Chicken | Expand Burgers/Sandwiches,Gallon Beverages | Grilled Nuggets Family Style Meal | Gluten Free Bun | Breakfast Proteins | Chick-fil-a(r) Nuggets Family Style Meal
